txop_num,duration,termination_time,From,To,Ended Properly
506,2142,1602607577,1c:28:af:1f:0d:91,ba:6d:f7:23:94:aa,no
507,823,1602611093,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,no
508,9718,1602622816,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
509,3705,1602626566,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
510,4531,1602631141,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
511,2088,1602637645,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
512,128,1602637817,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
513,128,1602638350,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
514,128,1602639084,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
515,136,1602642379,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
516,136,1602642787,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
517,4393,1602656455,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
518,136,1602656635,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
519,137,1602657351,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
520,288,1602667109,1c:28:af:1f:0d:94,a6:70:72:f8:56:5e,no
521,582,1602669483,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,no
522,802,1602670604,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
523,2787,1602673452,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
524,2546,1602676042,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
525,136,1602676222,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
526,136,1602676598,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
527,401,1602677178,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
528,137,1602677359,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
529,136,1602677752,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
530,944,1602681609,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
531,129,1602685831,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
532,244,1602686188,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
533,191,1602686423,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
534,261,1602686728,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
535,272,1602687156,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
536,181,1602687381,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
537,136,1602687561,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
538,2461,1602695897,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
539,3409,1602703101,1c:28:af:1f:0d:91,ba:6d:f7:23:94:aa,no
540,129,1602706592,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,yes
541,1569,1602710776,1c:28:af:1f:0d:94,a6:70:72:f8:56:5e,no
542,2215,1602715659,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
