txop_num,duration,termination_time,From,To,Ended Properly
2291,60,3122478359,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2292,111,3122492395,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2293,111,3122492650,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2294,47,3122494034,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2295,47,3122495707,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2296,60,3122517301,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2297,47,3122518867,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2298,47,3122526564,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2299,48,3122527587,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2300,48,3122528228,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2301,111,3122538687,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2302,111,3122538934,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2303,47,3122540435,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2304,47,3122541956,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2305,111,3122584872,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2306,112,3122585131,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2307,47,3122588540,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2308,111,3122601315,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2309,60,3122619732,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2310,48,3122621975,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2311,111,3122631087,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2312,112,3122631343,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2313,47,3122634410,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2314,112,3122677809,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2315,112,3122678074,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2316,47,3122680865,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2317,60,3122686340,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
